,match_id,,,,,,,,,,,,,,,,,
0,6352676609,,,,,,,,,,,,,,,,,
1,6352756468,,,,,,,,,,,,,,,,,
2,6352858977,,,,,,,,,,,,,,,,,
3,6352935007,,,,,,,,,,,,,,,,,
4,6353012535,,,,,,,,,,,,,,,,,
5,6354529515,,,,,,,,,,,,,,,,,
6,6354588921,,,,,,,,,,,,,,,,,
7,6354662324,,,,,,,,,,,,,,,,,
8,6354733640,,,,,,,,,,,,,,,,,
9,6354826241,,,,,,,,,,,,,,,,,
10,6354898679,,,,,,,,,,,,,,,,,
11,6354898866,,,,,,,,,,,,,,,,,
12,6354904905,,,,,,,,,,,,,,,,,
13,6354964985,,,,,,,,,,,,,,,,,
14,6354979242,,,,,,,,,,,,,,,,,
15,6354988421,,,,,,,,,,,,,,,,,
16,6355050795,,,,,,,,,,,,,,,,,
17,6355058171,,,,,,,,,,,,,,,,,
18,6355111167,,,,,,,,,,,,,,,,,
19,6355131721,,,,,,,,,,,,,,,,,
20,6355217286,,,,,,,,,,,,,,,,,
21,6355268433,,,,,,,,,,,,,,,,,
22,6355351264,,,,,,,,,,,,,,,,,
23,6355385097,,,,,,,,,,,,,,,,,
24,6355469199,,,,,,,,,,,,,,,,,
25,6355601313,,,,,,,,,,,,,,,,,
26,6355694304,,,,,,,,,,,,,,,,,
27,6355776972,,,,,,,,,,,,,,,,,
28,6355860286,,,,,,,,,,,,,,,,,
29,6355970691,,,,,,,,,,,,,,,,,
30,6356452695,,,,,,,,,,,,,,,,,
31,6356461217,,,,,,,,,,,,,,,,,
32,6356495774,,,,,,,,,,,,,,,,,
33,6356502447,,,,,,,,,,,,,,,,,
34,6356505336,,,,,,,,,,,,,,,,,
35,6356523773,,,,,,,,,,,,,,,,,
36,6356528276,,,,,,,,,,,,,,,,,
37,6356555723,,,,,,,,,,,,,,,,,
38,6356559381,,,,,,,,,,,,,,,,,
39,6356579087,,,,,,,,,,,,,,,,,
40,6356580716,,,,,,,,,,,,,,,,,
41,6356613747,,,,,,,,,,,,,,,,,
42,6356615027,,,,,,,,,,,,,,,,,
43,6356652615,,,,,,,,,,,,,,,,,
44,6356681217,,,,,,,,,,,,,,,,,
45,6356694527,,,,,,,,,,,,,,,,,
46,6356712580,,,,,,,,,,,,,,,,,
47,6356744331,,,,,,,,,,,,,,,,,
48,6356771212,,,,,,,,,,,,,,,,,
49,6356788698,,,,,,,,,,,,,,,,,
50,6356795714,,,,,,,,,,,,,,,,,
51,6356804115,,,,,,,,,,,,,,,,,
52,6356843253,,,,,,,,,,,,,,,,,
53,6356855174,,,,,,,,,,,,,,,,,
54,6356860776,,,,,,,,,,,,,,,,,
55,6356868459,,,,,,,,,,,,,,,,,
56,6356869701,,,,,,,,,,,,,,,,,
57,6356876024,,,,,,,,,,,,,,,,,
58,6356905268,,,,,,,,,,,,,,,,,
59,6356934270,,,,,,,,,,,,,,,,,
60,6356943847,,,,,,,,,,,,,,,,,
61,6357024986,,,,,,,,,,,,,,,,,
62,6357032955,,,,,,,,,,,,,,,,,
63,6357135752,,,,,,,,,,,,,,,,,
64,6357144453,,,,,,,,,,,,,,,,,
65,6357255787,,,,,,,,,,,,,,,,,
66,6357304033,,,,,,,,,,,,,,,,,
67,6357345178,,,,,,,,,,,,,,,,,
68,6357432168,,,,,,,,,,,,,,,,,
69,6357468604,,,,,,,,,,,,,,,,,
70,6357533941,,,,,,,,,,,,,,,,,
71,6357537354,,,,,,,,,,,,,,,,,
72,6357627758,,,,,,,,,,,,,,,,,
73,6357660698,,,,,,,,,,,,,,,,,
74,6357718541,,,,,,,,,,,,,,,,,
75,6357753263,,,,,,,,,,,,,,,,,
76,6357833066,,,,,,,,,,,,,,,,,
77,6358315988,,,,,,,,,,,,,,,,,
78,6358326114,,,,,,,,,,,,,,,,,
79,6358357207,,,,,,,,,,,,,,,,,
80,6358366404,,,,,,,,,,,,,,,,,
81,6358367101,,,,,,,,,,,,,,,,,
82,6358415153,,,,,,,,,,,,,,,,,
83,6358419678,,,,,,,,,,,,,,,,,
84,6358426214,,,,,,,,,,,,,,,,,
85,6358465212,,,,,,,,,,,,,,,,,
86,6358473567,,,,,,,,,,,,,,,,,
87,6358477739,,,,,,,,,,,,,,,,,
88,6358480733,,,,,,,,,,,,,,,,,
89,6358512030,,,,,,,,,,,,,,,,,
90,6358546206,,,,,,,,,,,,,,,,,
91,6358557448,,,,,,,,,,,,,,,,,
92,6358558330,,,,,,,,,,,,,,,,,
93,6358566659,,,,,,,,,,,,,,,,,
94,6358593165,,,,,,,,,,,,,,,,,
95,6358613426,,,,,,,,,,,,,,,,,
96,6358619065,,,,,,,,,,,,,,,,,
97,6358630388,,,,,,,,,,,,,,,,,
98,6358642676,,,,,,,,,,,,,,,,,
99,6358654344,,,,,,,,,,,,,,,,,
100,6358672402,,,,,,,,,,,,,,,,,
101,6358702015,,,,,,,,,,,,,,,,,
102,6358711063,,,,,,,,,,,,,,,,,
103,6358715986,,,,,,,,,,,,,,,,,
104,6358738800,,,,,,,,,,,,,,,,,
105,6358744218,,,,,,,,,,,,,,,,,
106,6358784768,,,,,,,,,,,,,,,,,
107,6358798034,,,,,,,,,,,,,,,,,
108,6358802844,,,,,,,,,,,,,,,,,
109,6358828419,,,,,,,,,,,,,,,,,
110,6358896791,,,,,,,,,,,,,,,,,
111,6358900044,,,,,,,,,,,,,,,,,
112,6358912024,,,,,,,,,,,,,,,,,
113,6358926537,,,,,,,,,,,,,,,,,
114,6358986135,,,,,,,,,,,,,,,,,
115,6359038630,,,,,,,,,,,,,,,,,
116,6359091217,,,,,,,,,,,,,,,,,
117,6359131397,,,,,,,,,,,,,,,,,
118,6359145433,,,,,,,,,,,,,,,,,
119,6359186006,,,,,,,,,,,,,,,,,
120,6359236953,,,,,,,,,,,,,,,,,
121,6359282096,,,,,,,,,,,,,,,,,
122,6359435472,,,,,,,,,,,,,,,,,
123,6359514434,,,,,,,,,,,,,,,,,
124,6359601410,,,,,,,,,,,,,,,,,
125,6360082167,,,,,,,,,,,,,,,,,
126,6360084462,,,,,,,,,,,,,,,,,
127,6360118715,,,,,,,,,,,,,,,,,
128,6360121199,,,,,,,,,,,,,,,,,
129,6360122751,,,,,,,,,,,,,,,,,
130,6360134190,,,,,,,,,,,,,,,,,
131,6360157619,,,,,,,,,,,,,,,,,
132,6360162926,,,,,,,,,,,,,,,,,
133,6360194683,,,,,,,,,,,,,,,,,
134,6360198544,,,,,,,,,,,,,,,,,
135,6360229577,,,,,,,,,,,,,,,,,
136,6360233997,,,,,,,,,,,,,,,,,
137,6360236144,,,,,,,,,,,,,,,,,
138,6360261162,,,,,,,,,,,,,,,,,
139,6360276564,,,,,,,,,,,,,,,,,
140,6360288735,,,,,,,,,,,,,,,,,
141,6360301429,,,,,,,,,,,,,,,,,
142,6360325911,,,,,,,,,,,,,,,,,
143,6360326298,,,,,,,,,,,,,,,,,
144,6360350971,,,,,,,,,,,,,,,,,
145,6360356286,,,,,,,,,,,,,,,,,
146,6360376935,,,,,,,,,,,,,,,,,
147,6360401474,,,,,,,,,,,,,,,,,
148,6360402245,,,,,,,,,,,,,,,,,
149,6360403640,,,,,,,,,,,,,,,,,
150,6360408177,,,,,,,,,,,,,,,,,
151,6360410272,,,,,,,,,,,,,,,,,
152,6360424738,,,,,,,,,,,,,,,,,
153,6360468516,,,,,,,,,,,,,,,,,
154,6360473245,,,,,,,,,,,,,,,,,
155,6360475499,,,,,,,,,,,,,,,,,
156,6360499298,,,,,,,,,,,,,,,,,
157,6360509924,,,,,,,,,,,,,,,,,
158,6360540046,,,,,,,,,,,,,,,,,
159,6360553006,,,,,,,,,,,,,,,,,
160,6360597795,,,,,,,,,,,,,,,,,
161,6360612265,,,,,,,,,,,,,,,,,
162,6360620878,,,,,,,,,,,,,,,,,
163,6360653090,,,,,,,,,,,,,,,,,
164,6360705051,,,,,,,,,,,,,,,,,
165,6360742572,,,,,,,,,,,,,,,,,
166,6360750880,,,,,,,,,,,,,,,,,
167,6360834235,,,,,,,,,,,,,,,,,
168,6360862337,,,,,,,,,,,,,,,,,
169,6360871966,,,,,,,,,,,,,,,,,
170,6360876255,,,,,,,,,,,,,,,,,
171,6360937298,,,,,,,,,,,,,,,,,
172,6360965037,,,,,,,,,,,,,,,,,
173,6360997620,,,,,,,,,,,,,,,,,
174,6361059892,,,,,,,,,,,,,,,,,
175,6361166273,,,,,,,,,,,,,,,,,
176,6361196961,,,,,,,,,,,,,,,,,
177,6361260955,,,,,,,,,,,,,,,,,
178,6361291111,,,,,,,,,,,,,,,,,
179,6361389582,,,,,,,,,,,,,,,,,
180,6361508418,,,,,,,,,,,,,,,,,
181,6361522944,,,,,,,,,,,,,,,,,
182,6361580107,,,,,,,,,,,,,,,,,
183,6361646997,,,,,,,,,,,,,,,,,
184,6361717819,,,,,,,,,,,,,,,,,
185,6361837387,,,,,,,,,,,,,,,,,
186,6361844771,,,,,,,,,,,,,,,,,
187,6361879958,,,,,,,,,,,,,,,,,
188,6361883167,,,,,,,,,,,,,,,,,
189,6361897938,,,,,,,,,,,,,,,,,
190,6361926388,,,,,,,,,,,,,,,,,
191,6361945572,,,,,,,,,,,,,,,,,
192,6361947673,,,,,,,,,,,,,,,,,
193,6361965240,,,,,,,,,,,,,,,,,
194,6361967623,,,,,,,,,,,,,,,,,
195,6362007844,,,,,,,,,,,,,,,,,
196,6362019112,,,,,,,,,,,,,,,,,
197,6362040703,,,,,,,,,,,,,,,,,
198,6362048400,,,,,,,,,,,,,,,,,
199,6362054654,,,,,,,,,,,,,,,,,
200,6362080477,,,,,,,,,,,,,,,,,
201,6362102857,,,,,,,,,,,,,,,,,
202,6362105191,,,,,,,,,,,,,,,,,
203,6362126886,,,,,,,,,,,,,,,,,
204,6362155264,,,,,,,,,,,,,,,,,
205,6362171080,,,,,,,,,,,,,,,,,
206,6362211869,,,,,,,,,,,,,,,,,
207,6362240841,,,,,,,,,,,,,,,,,
208,6362240900,,,,,,,,,,,,,,,,,
209,6362268147,,,,,,,,,,,,,,,,,
210,6362339324,,,,,,,,,,,,,,,,,
211,6362351115,,,,,,,,,,,,,,,,,
212,6362366055,,,,,,,,,,,,,,,,,
213,6362375332,,,,,,,,,,,,,,,,,
214,6362388295,,,,,,,,,,,,,,,,,
215,6362435912,,,,,,,,,,,,,,,,,
216,6362443192,,,,,,,,,,,,,,,,,
217,6362456308,,,,,,,,,,,,,,,,,
218,6362508065,,,,,,,,,,,,,,,,,
219,6362513052,,,,,,,,,,,,,,,,,
220,6362518267,,,,,,,,,,,,,,,,,
221,6362523961,,,,,,,,,,,,,,,,,
222,6362537051,,,,,,,,,,,,,,,,,
223,6362598368,,,,,,,,,,,,,,,,,
224,6362657424,,,,,,,,,,,,,,,,,
225,6362661563,,,,,,,,,,,,,,,,,
226,6362662278,,,,,,,,,,,,,,,,,
227,6362670285,,,,,,,,,,,,,,,,,
228,6362754993,,,,,,,,,,,,,,,,,
229,6362756531,,,,,,,,,,,,,,,,,
230,6362760250,,,,,,,,,,,,,,,,,
231,6362782538,,,,,,,,,,,,,,,,,
232,6362861405,,,,,,,,,,,,,,,,,
233,6362862516,,,,,,,,,,,,,,,,,
234,6362877785,,,,,,,,,,,,,,,,,
235,6362882391,,,,,,,,,,,,,,,,,
236,6362899123,,,,,,,,,,,,,,,,,
237,6362936159,,,,,,,,,,,,,,,,,
238,6362965970,,,,,,,,,,,,,,,,,
239,6362975261,,,,,,,,,,,,,,,,,
240,6362987229,,,,,,,,,,,,,,,,,
241,6363041036,,,,,,,,,,,,,,,,,
242,6363094046,,,,,,,,,,,,,,,,,
243,6363133005,,,,,,,,,,,,,,,,,
244,6363135269,,,,,,,,,,,,,,,,,
245,6363256158,,,,,,,,,,,,,,,,,
246,6363385036,,,,,,,,,,,,,,,,,
247,6363467116,,,,,,,,,,,,,,,,,
248,6363556385,,,,,,,,,,,,,,,,,
249,6363599661,,,,,,,,,,,,,,,,,
250,6363637651,,,,,,,,,,,,,,,,,
251,6363646439,,,,,,,,,,,,,,,,,
252,6363657047,,,,,,,,,,,,,,,,,
253,6363681975,,,,,,,,,,,,,,,,,
254,6363689242,,,,,,,,,,,,,,,,,
255,6363700890,,,,,,,,,,,,,,,,,
256,6363712212,,,,,,,,,,,,,,,,,
257,6363722668,,,,,,,,,,,,,,,,,
258,6363728709,,,,,,,,,,,,,,,,,
259,6363758581,,,,,,,,,,,,,,,,,
260,6363769229,,,,,,,,,,,,,,,,,
261,6363782701,,,,,,,,,,,,,,,,,
262,6363790951,,,,,,,,,,,,,,,,,
263,6363804381,,,,,,,,,,,,,,,,,
264,6363817536,,,,,,,,,,,,,,,,,
265,6363838196,,,,,,,,,,,,,,,,,
266,6363849521,,,,,,,,,,,,,,,,,
267,6363853826,,,,,,,,,,,,,,,,,
268,6363864501,,,,,,,,,,,,,,,,,
269,6363870824,,,,,,,,,,,,,,,,,
270,6363898944,,,,,,,,,,,,,,,,,
271,6363904302,,,,,,,,,,,,,,,,,
272,6363920932,,,,,,,,,,,,,,,,,
273,6363930256,,,,,,,,,,,,,,,,,
274,6363960098,,,,,,,,,,,,,,,,,
275,6363971889,,,,,,,,,,,,,,,,,
276,6363972760,,,,,,,,,,,,,,,,,
277,6363984212,,,,,,,,,,,,,,,,,
278,6364028205,,,,,,,,,,,,,,,,,
279,6364034063,,,,,,,,,,,,,,,,,
280,6364040396,,,,,,,,,,,,,,,,,
281,6364047879,,,,,,,,,,,,,,,,,
282,6364062621,,,,,,,,,,,,,,,,,
283,6364115669,,,,,,,,,,,,,,,,,
284,6364133903,,,,,,,,,,,,,,,,,
285,6364158764,,,,,,,,,,,,,,,,,
286,6364171107,,,,,,,,,,,,,,,,,
287,6364246286,,,,,,,,,,,,,,,,,
288,6364257041,,,,,,,,,,,,,,,,,
289,6364262218,,,,,,,,,,,,,,,,,
290,6364343018,,,,,,,,,,,,,,,,,
291,6364375812,,,,,,,,,,,,,,,,,
292,6364381755,,,,,,,,,,,,,,,,,
293,6364466548,,,,,,,,,,,,,,,,,
294,6364468144,,,,,,,,,,,,,,,,,
295,6364487473,,,,,,,,,,,,,,,,,
296,6364488361,,,,,,,,,,,,,,,,,
297,6364612760,,,,,,,,,,,,,,,,,
298,6364652066,,,,,,,,,,,,,,,,,
299,6364724655,,,,,,,,,,,,,,,,,
300,6364770307,,,,,,,,,,,,,,,,,
301,6364872935,,,,,,,,,,,,,,,,,
302,6364963200,,,,,,,,,,,,,,,,,
303,6364996213,,,,,,,,,,,,,,,,,
304,6364996931,,,,,,,,,,,,,,,,,
305,6365076439,,,,,,,,,,,,,,,,,
306,6365098468,,,,,,,,,,,,,,,,,
307,6365199219,,,,,,,,,,,,,,,,,
308,6365273349,,,,,,,,,,,,,,,,,
309,6365320074,,,,,,,,,,,,,,,,,
310,6365421077,,,,,,,,,,,,,,,,,
311,6365459437,,,,,,,,,,,,,,,,,
312,6365511876,,,,,,,,,,,,,,,,,
313,6365519486,,,,,,,,,,,,,,,,,
314,6365521536,,,,,,,,,,,,,,,,,
315,6365564046,,,,,,,,,,,,,,,,,
316,6365590209,,,,,,,,,,,,,,,,,
317,6365597880,,,,,,,,,,,,,,,,,
318,6365620266,,,,,,,,,,,,,,,,,
319,6365647930,,,,,,,,,,,,,,,,,
320,6365662212,,,,,,,,,,,,,,,,,
321,6365716911,,,,,,,,,,,,,,,,,
322,6365729019,,,,,,,,,,,,,,,,,
323,6365808609,,,,,,,,,,,,,,,,,
324,6365823926,,,,,,,,,,,,,,,,,
325,6365890029,,,,,,,,,,,,,,,,,
326,6365901025,,,,,,,,,,,,,,,,,
327,6365953214,,,,,,,,,,,,,,,,,
328,6365965811,,,,,,,,,,,,,,,,,
329,6365969958,,,,,,,,,,,,,,,,,
330,6365974399,,,,,,,,,,,,,,,,,
331,6366052908,,,,,,,,,,,,,,,,,
332,6366060715,,,,,,,,,,,,,,,,,
333,6366069988,,,,,,,,,,,,,,,,,
334,6366082993,,,,,,,,,,,,,,,,,
335,6366173492,,,,,,,,,,,,,,,,,
336,6366180070,,,,,,,,,,,,,,,,,
337,6366259080,,,,,,,,,,,,,,,,,
338,6366276534,,,,,,,,,,,,,,,,,
